,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-3C-AAAU-01_BRCA,order
6205,DPEP3,ENSG00000141096.4,hsa:64180,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-5.0116,-5.473627640064753
6206,DPEP3,ENSG00000141096.4,hsa:64180,1002,Genes and Proteins,Protein families: metabolism,Peptidases,-5.0116,-5.473627640064753
6207,DPEP3,ENSG00000141096.4,hsa:64180,0537,Genes and Proteins,Protein families: signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins,-5.0116,-5.473627640064753
6208,DPEP2,ENSG00000167261.13,hsa:64174,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.9862,0.747582859671484
6209,DPEP2,ENSG00000167261.13,hsa:64174,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,0.9862,0.747582859671484
6210,DPEP2,ENSG00000167261.13,hsa:64174,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.9862,0.747582859671484
6211,DPEP2,ENSG00000167261.13,hsa:64174,1002,Genes and Proteins,Protein families: metabolism,Peptidases,0.9862,0.747582859671484
6212,DPEP2,ENSG00000167261.13,hsa:64174,0537,Genes and Proteins,Protein families: signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins,0.9862,0.747582859671484
6213,NFATC3,ENSG00000072736.18,hsa:4775,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.7539,3.3228826519624075
6214,NFATC3,ENSG00000072736.18,hsa:4775,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,3.7539,3.3228826519624075
6215,ESRP2,ENSG00000103067.11,hsa:80004,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.2661,4.489114873897296
6216,ESRP2,ENSG00000103067.11,hsa:80004,3041,Genes and Proteins,Protein families: genetic information processing,Spliceosome,5.2661,4.489114873897296
6217,SLC7A6,ENSG00000103064.13,hsa:9057,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.3242,2.747503777113131
6218,SLC7A6,ENSG00000103064.13,hsa:9057,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,4.3242,2.747503777113131
6219,SMPD3,ENSG00000103056.11,hsa:55512,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.076,0.6409296238771771
6220,SMPD3,ENSG00000103056.11,hsa:55512,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.076,0.6409296238771771
6221,CDH3,ENSG00000062038.13,hsa:1001,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.7828,4.17910462827572
6222,CDH3,ENSG00000062038.13,hsa:1001,4515,Genes and Proteins,Protein families: signaling and cellular processes,Cell adhesion molecules,1.7828,4.17910462827572
6223,CDH1,ENSG00000039068.18,hsa:999,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.2015,6.50858822493538
6224,CDH1,ENSG00000039068.18,hsa:999,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,8.2015,6.50858822493538
6225,CDH1,ENSG00000039068.18,hsa:999,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,8.2015,6.50858822493538
6226,CDH1,ENSG00000039068.18,hsa:999,4515,Genes and Proteins,Protein families: signaling and cellular processes,Cell adhesion molecules,8.2015,6.50858822493538
6227,HAS3,ENSG00000103044.10,hsa:3038,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.2881,0.29635285974020903
6228,HAS3,ENSG00000103044.10,hsa:3038,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.2881,0.29635285974020903
6229,HAS3,ENSG00000103044.10,hsa:3038,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,0.2881,0.29635285974020903
6230,HAS3,ENSG00000103044.10,hsa:3038,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,0.2881,0.29635285974020903
6231,TMED6,ENSG00000157315.4,hsa:146456,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.6416,-1.2788310035090062
6232,TMED6,ENSG00000157315.4,hsa:146456,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,-0.6416,-1.2788310035090062
6233,TMED6,ENSG00000157315.4,hsa:146456,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-0.6416,-1.2788310035090062
6234,NFAT5,ENSG00000102908.20,hsa:10725,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.9338,2.011243542431667
6235,NFAT5,ENSG00000102908.20,hsa:10725,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.9338,2.011243542431667
6236,NQO1,ENSG00000181019.12,hsa:1728,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.5111,7.0066271615806945
6237,NQO1,ENSG00000181019.12,hsa:1728,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.5111,7.0066271615806945
6238,CLEC18A,ENSG00000157322.16,hsa:348174,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.7322,-2.623027924548664
6239,CLEC18A,ENSG00000157322.16,hsa:348174,4091,Genes and Proteins,Protein families: signaling and cellular processes,Lectins,-1.7322,-2.623027924548664
6240,PDPR,ENSG00000090857.13,hsa:55066,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.3979,2.9665637421247584
6241,PDPR,ENSG00000090857.13,hsa:55066,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,3.3979,2.9665637421247584
6242,CLEC18C,ENSG00000157335.19,hsa:283971,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.6082,-5.191371583758981
6243,CLEC18C,ENSG00000157335.19,hsa:283971,4091,Genes and Proteins,Protein families: signaling and cellular processes,Lectins,-4.6082,-5.191371583758981
6244,ST3GAL2,ENSG00000157350.12,hsa:6483,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.0841,2.608927558066744
6245,ST3GAL2,ENSG00000157350.12,hsa:6483,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.0841,2.608927558066744
6246,ST3GAL2,ENSG00000157350.12,hsa:6483,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,4.0841,2.608927558066744
6247,IL34,ENSG00000157368.10,hsa:146433,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.1447,2.0310483914920607
6248,IL34,ENSG00000157368.10,hsa:146433,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,1.1447,2.0310483914920607
6249,HYDIN,ENSG00000157423.17,hsa:54768,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.5955,-0.3439222518609647
6250,HYDIN,ENSG00000157423.17,hsa:54768,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,0.5955,-0.3439222518609647
6251,ZNF19,ENSG00000157429.15,hsa:7567,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.6983,1.6408063468341405
6252,ZNF19,ENSG00000157429.15,hsa:7567,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,3.6983,1.6408063468341405
6253,CHST4,ENSG00000140835.9,hsa:10164,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.6082,-4.033922560410491
6254,CHST4,ENSG00000140835.9,hsa:10164,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-4.6082,-4.033922560410491
6255,CHST4,ENSG00000140835.9,hsa:10164,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,-4.6082,-4.033922560410491
6256,TAT,ENSG00000198650.10,hsa:6898,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.5973,-0.4268490367543625
6257,TAT,ENSG00000198650.10,hsa:6898,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-0.5973,-0.4268490367543625
6258,TAT,ENSG00000198650.10,hsa:6898,1007,Genes and Proteins,Protein families: metabolism,Amino acid related enzymes,-0.5973,-0.4268490367543625
6259,MARVELD3,ENSG00000140832.9,hsa:91862,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.3951,3.4456133732645045
6260,MARVELD3,ENSG00000140832.9,hsa:91862,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,4.3951,3.4456133732645045
6261,PHLPP2,ENSG00000040199.18,hsa:23035,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4623,1.3307787627739271
6262,PHLPP2,ENSG00000040199.18,hsa:23035,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.4623,1.3307787627739271
6263,PHLPP2,ENSG00000040199.18,hsa:23035,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,2.4623,1.3307787627739271
6264,PKD1L3,ENSG00000277481.1,hsa:342372,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.5735,-7.2296855563253235
6265,PKD1L3,ENSG00000277481.1,hsa:342372,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,-5.5735,-7.2296855563253235
6266,HP,ENSG00000257017.8,hsa:3240,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.2828,-0.651248138089946
6267,HP,ENSG00000257017.8,hsa:3240,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,-1.2828,-0.651248138089946
6268,HP,ENSG00000257017.8,hsa:3240,1002,Genes and Proteins,Protein families: metabolism,Peptidases,-1.2828,-0.651248138089946
6269,HPR,ENSG00000261701.6,hsa:3250,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.1714,-6.707641531624745
6270,PMFBP1,ENSG00000118557.15,hsa:83449,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.4659,-1.8995411223263539
6271,PMFBP1,ENSG00000118557.15,hsa:83449,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-2.4659,-1.8995411223263539
6272,ZFHX3,ENSG00000140836.14,hsa:463,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6715,1.6744683631534232
6273,ZFHX3,ENSG00000140836.14,hsa:463,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.6715,1.6744683631534232
6274,CLEC18B,ENSG00000140839.11,hsa:497190,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.0116,-2.1639838975850383
6275,CLEC18B,ENSG00000140839.11,hsa:497190,4091,Genes and Proteins,Protein families: signaling and cellular processes,Lectins,-5.0116,-2.1639838975850383
6276,RFWD3,ENSG00000168411.13,hsa:55159,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.3513,3.3615778959799343
6277,RFWD3,ENSG00000168411.13,hsa:55159,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,4.3513,3.3615778959799343
6278,RFWD3,ENSG00000168411.13,hsa:55159,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.3513,3.3615778959799343
6279,MLKL,ENSG00000168404.12,hsa:197259,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.6093,2.462689211366693
6280,MLKL,ENSG00000168404.12,hsa:197259,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.6093,2.462689211366693
6281,MLKL,ENSG00000168404.12,hsa:197259,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,1.6093,2.462689211366693
6282,FA2H,ENSG00000103089.8,hsa:79152,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.7898,0.9620689148485293
6283,FA2H,ENSG00000103089.8,hsa:79152,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.7898,0.9620689148485293
6284,LDHD,ENSG00000166816.13,hsa:197257,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.2783,1.5808827071706164
6285,LDHD,ENSG00000166816.13,hsa:197257,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.2783,1.5808827071706164
6286,CTRB2,ENSG00000168928.12,hsa:440387,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.2934,-6.694258900885443
6287,CTRB2,ENSG00000168928.12,hsa:440387,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-4.2934,-6.694258900885443
6288,CTRB2,ENSG00000168928.12,hsa:440387,1002,Genes and Proteins,Protein families: metabolism,Peptidases,-4.2934,-6.694258900885443
6289,CHST6,ENSG00000183196.8,hsa:4166,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.816,-1.8899335574064668
6290,CHST6,ENSG00000183196.8,hsa:4166,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-3.816,-1.8899335574064668
6291,CHST6,ENSG00000183196.8,hsa:4166,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,-3.816,-1.8899335574064668
6292,CHST5,ENSG00000135702.14,hsa:23563,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.3548,-4.591069313592464
6293,CHST5,ENSG00000135702.14,hsa:23563,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-1.3548,-4.591069313592464
6294,CHST5,ENSG00000135702.14,hsa:23563,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,-1.3548,-4.591069313592464
6295,TMEM231,ENSG00000205084.10,hsa:79583,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.2631,2.463604628344136
6296,TMEM231,ENSG00000205084.10,hsa:79583,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,4.2631,2.463604628344136
6297,ADAMTS18,ENSG00000140873.15,hsa:170692,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-2.0486046402880476
6298,ADAMTS18,ENSG00000140873.15,hsa:170692,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-9.9658,-2.0486046402880476
6299,ADAMTS18,ENSG00000140873.15,hsa:170692,1002,Genes and Proteins,Protein families: metabolism,Peptidases,-9.9658,-2.0486046402880476
6300,NUDT7,ENSG00000140876.11,hsa:283927,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6302,2.2935074090945133
6301,NUDT7,ENSG00000140876.11,hsa:283927,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.6302,2.2935074090945133
6302,MAF,ENSG00000178573.6,hsa:4094,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.1047,2.664982253739947
6303,MAF,ENSG00000178573.6,hsa:4094,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.1047,2.664982253739947
6304,DYNLRB2,ENSG00000168589.14,hsa:83657,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.3032,1.855864995726744
6305,DYNLRB2,ENSG00000168589.14,hsa:83657,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,3.3032,1.855864995726744
6306,DYNLRB2,ENSG00000168589.14,hsa:83657,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,3.3032,1.855864995726744
6307,CDYL2,ENSG00000166446.14,hsa:124359,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5388,2.165475811602126
6308,CDYL2,ENSG00000166446.14,hsa:124359,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.5388,2.165475811602126
6309,CDYL2,ENSG00000166446.14,hsa:124359,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,2.5388,2.165475811602126
6310,CENPN,ENSG00000166451.13,hsa:55839,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.0926,3.277274443219531
6311,CENPN,ENSG00000166451.13,hsa:55839,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,4.0926,3.277274443219531
6312,PKD1L2,ENSG00000166473.16,hsa:114780,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.9862,-1.1753921729941788
6313,PKD1L2,ENSG00000166473.16,hsa:114780,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,0.9862,-1.1753921729941788
6314,BCO1,ENSG00000135697.9,hsa:53630,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.035,-3.6252336411476707
6315,BCO1,ENSG00000135697.9,hsa:53630,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-4.035,-3.6252336411476707
6316,GAN,ENSG00000261609.3,hsa:8139,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.0222,0.2712002526777458
6317,GAN,ENSG00000261609.3,hsa:8139,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,1.0222,0.2712002526777458
6318,PLCG2,ENSG00000197943.9,hsa:5336,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.1447,2.617793195657988
6319,PLCG2,ENSG00000197943.9,hsa:5336,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,1.1447,2.617793195657988
6320,PLCG2,ENSG00000197943.9,hsa:5336,1000,Genes and Proteins,Protein families: metabolism,Enzymes,1.1447,2.617793195657988
6321,HSD17B2,ENSG00000086696.10,hsa:3294,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-0.6856232715268985
6322,HSD17B2,ENSG00000086696.10,hsa:3294,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-9.9658,-0.6856232715268985
6323,CDH13,ENSG00000140945.15,hsa:1012,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.8643,3.0414450298887417
6324,CDH13,ENSG00000140945.15,hsa:1012,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,1.8643,3.0414450298887417
6325,CDH13,ENSG00000140945.15,hsa:1012,4515,Genes and Proteins,Protein families: signaling and cellular processes,Cell adhesion molecules,1.8643,3.0414450298887417
6326,SLC38A8,ENSG00000166558.10,hsa:146167,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,-6.651731395992185
6327,SLC38A8,ENSG00000166558.10,hsa:146167,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-9.9658,-6.651731395992185
6328,DNAAF1,ENSG00000154099.17,hsa:123872,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.0568,0.6353344856629853
6329,DNAAF1,ENSG00000154099.17,hsa:123872,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,3.0568,0.6353344856629853
6330,ATP2C2,ENSG00000064270.12,hsa:9914,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.9412,2.6870924118402746
6331,ATP2C2,ENSG00000064270.12,hsa:9914,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.9412,2.6870924118402746
6332,GINS2,ENSG00000131153.8,hsa:51659,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.8677,2.882642129198877
6333,GINS2,ENSG00000131153.8,hsa:51659,3032,Genes and Proteins,Protein families: genetic information processing,DNA replication proteins,5.8677,2.882642129198877
6334,IRF8,ENSG00000140968.10,hsa:3394,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.0183,2.6527734644062626
6335,IRF8,ENSG00000140968.10,hsa:3394,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.0183,2.6527734644062626
6336,FOXF1,ENSG00000103241.6,hsa:2294,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.5951,-2.4375985302828744
6337,FOXF1,ENSG00000103241.6,hsa:2294,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-1.5951,-2.4375985302828744
6338,FOXC2,ENSG00000176692.5,hsa:2303,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.9132,-0.6312031655769327
6339,FOXC2,ENSG00000176692.5,hsa:2303,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-0.9132,-0.6312031655769327
6340,FOXL1,ENSG00000176678.5,hsa:2300,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.685,-1.2885099285691803
6341,FOXL1,ENSG00000176678.5,hsa:2300,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-1.685,-1.2885099285691803
6342,JPH3,ENSG00000154118.12,hsa:57338,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.6643,-2.706860757586266
6343,SLC7A5,ENSG00000103257.8,hsa:8140,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.6291,4.186519603251778
6344,SLC7A5,ENSG00000103257.8,hsa:8140,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,5.6291,4.186519603251778
6345,ZFPM1,ENSG00000179588.8,hsa:161882,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.5115,0.985381337254999
6346,ZFPM1,ENSG00000179588.8,hsa:161882,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.5115,0.985381337254999
6347,IL17C,ENSG00000124391.4,hsa:27189,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-5.0116,-5.949460695779926
6348,IL17C,ENSG00000124391.4,hsa:27189,4052,Genes and Proteins,Protein families: signaling and cellular processes,Cytokines and growth factors,-5.0116,-5.949460695779926
6349,CYBA,ENSG00000051523.10,hsa:1535,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.3636,6.605692552297227
6350,CYBA,ENSG00000051523.10,hsa:1535,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,5.3636,6.605692552297227
6351,SNAI3,ENSG00000185669.5,hsa:333929,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.3022,-0.6263097572845935
6352,SNAI3,ENSG00000185669.5,hsa:333929,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-0.3022,-0.6263097572845935
6353,PIEZO1,ENSG00000103335.19,hsa:9780,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.6228,5.887035208455548
6354,PIEZO1,ENSG00000103335.19,hsa:9780,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,6.6228,5.887035208455548
6355,PIEZO1,ENSG00000103335.19,hsa:9780,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,6.6228,5.887035208455548
6356,CDT1,ENSG00000167513.8,hsa:81620,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.9883,2.45414254205414
6357,CDT1,ENSG00000167513.8,hsa:81620,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,3.9883,2.45414254205414
6358,CDT1,ENSG00000167513.8,hsa:81620,3032,Genes and Proteins,Protein families: genetic information processing,DNA replication proteins,3.9883,2.45414254205414
6359,CBFA2T3,ENSG00000129993.14,hsa:863,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.4556,1.7336260693802525
6360,CDH15,ENSG00000129910.7,hsa:1013,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.2447,-3.8839599963287608
6361,CDH15,ENSG00000129910.7,hsa:1013,4515,Genes and Proteins,Protein families: signaling and cellular processes,Cell adhesion molecules,-2.2447,-3.8839599963287608
6362,ZNF778,ENSG00000170100.13,hsa:197320,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.0411,1.0871069968442924
6363,ZNF778,ENSG00000170100.13,hsa:197320,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,3.0411,1.0871069968442924
6364,DPEP1,ENSG00000015413.9,hsa:1800,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.3921,-0.4887180534271437
6365,DPEP1,ENSG00000015413.9,hsa:1800,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,-1.3921,-0.4887180534271437
6366,DPEP1,ENSG00000015413.9,hsa:1800,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-1.3921,-0.4887180534271437
6367,DPEP1,ENSG00000015413.9,hsa:1800,1002,Genes and Proteins,Protein families: metabolism,Peptidases,-1.3921,-0.4887180534271437
6368,DPEP1,ENSG00000015413.9,hsa:1800,0537,Genes and Proteins,Protein families: signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins,-1.3921,-0.4887180534271437
6369,FANCA,ENSG00000187741.14,hsa:2175,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.7825,2.938182086632432
6370,FANCA,ENSG00000187741.14,hsa:2175,3400,Genes and Proteins,Protein families: genetic information processing,DNA repair and recombination proteins,3.7825,2.938182086632432
6371,MC1R,ENSG00000258839.2,hsa:4157,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.8208,1.2012664001643134
6372,MC1R,ENSG00000258839.2,hsa:4157,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,3.8208,1.2012664001643134
6373,TUBB3,ENSG00000198211.8,hsa:10381,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.0559,-6.099222239819495
6374,TUBB3,ENSG00000198211.8,hsa:10381,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,-1.0559,-6.099222239819495
6375,TUBB3,ENSG00000198211.8,hsa:10381,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,-1.0559,-6.099222239819495
6376,TUBB3,ENSG00000198211.8,hsa:10381,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,-1.0559,-6.099222239819495
6377,TUBB3,ENSG00000258947.6,hsa:10381,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.3201,3.8250729895063937
6378,TUBB3,ENSG00000258947.6,hsa:10381,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,6.3201,3.8250729895063937
6379,TUBB3,ENSG00000258947.6,hsa:10381,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,6.3201,3.8250729895063937
6380,TUBB3,ENSG00000258947.6,hsa:10381,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,6.3201,3.8250729895063937
6381,DOC2B,ENSG00000272636.3,hsa:8447,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.4102,0.8336414455857971
6382,DOC2B,ENSG00000272636.3,hsa:8447,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,3.4102,0.8336414455857971
6383,RPH3AL,ENSG00000181031.15,hsa:9501,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.9691,2.379308958368898
6384,RPH3AL,ENSG00000181031.15,hsa:9501,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,3.9691,2.379308958368898
6385,NXN,ENSG00000167693.16,hsa:64359,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6208,3.764000230493399
6386,NXN,ENSG00000167693.16,hsa:64359,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.6208,3.764000230493399
6387,NXN,ENSG00000167693.16,hsa:64359,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,2.6208,3.764000230493399
6388,ABR,ENSG00000159842.14,hsa:29,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.9862,4.673480000169748
6389,ABR,ENSG00000159842.14,hsa:29,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,5.9862,4.673480000169748
6390,SLC43A2,ENSG00000167703.14,hsa:124935,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.5487,3.940339810185241
6391,SLC43A2,ENSG00000167703.14,hsa:124935,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,2.5487,3.940339810185241
6392,RILP,ENSG00000167705.11,hsa:83547,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.2723,2.396478709479364
